id,region_id,delegacion,sede,nivel_delegacion_id
154,3,D-I-69,TIHUATLAN,35
155,7,D-I-16,COSCOMATEPEC,35
156,3,D-II-47,PAPANTLA,39
157,3,D-III-12,POZA RICA,19
158,11,D-II-44,ACAYUCAN,39
159,11,D-II-52,COATZACOALCOS,40
160,11,D-II-23,COATZACOALCOS,36
161,3,D-I-24,HUAYACOCOTLA,35
162,3,D-I-40,PAPANTLA,35
163,3,D-I-21,ESPINAL,35
164,3,D-I-85,PAPANTLA,34
165,3,D-I-46,POZA RICA,35
166,3,D-I-67,GUTIERREZ ZAMORA,35
167,11,D-I-12,COATZACOALCOS,27
168,3,D-II-41,POZA RICA,40
169,3,D-II-19,ALAMO,39
170,11,D-I-49,SAYULA DE ALEMAN,35
171,11,D-I-59,ACAYUCAN,34
172,11,D-II-45,COATZACOALCOS,39
173,11,D-III-22,COATZACOALCOS,19
174,11,D-I-32,MINATITLAN,30
175,1,D-I-18,CHICONTEPEC,35
176,3,D-II-57,HUAYACOCOTLA,39
177,7,D-I-76,TOTUTLA,35
178,7,D-I-42,PASO DEL MACHO,35
179,9,D-I-15,COSAMALOAPAN,35
180,9,D-III-02,TIERRA BLANCA,19
181,2,D-IV-12,NARANJOS,29
182,11,D-IV-25,MINATITLAN,29
183,11,D-IV-19,COATZACOALCOS,29
184,3,D-IV-10,POZA RICA,29
185,3,D-IV-31,TIHUATLAN,29
186,3,D-IV-15,PAPANTLA,29
187,3,C.T.01,PAPANTLA,6
188,11,C.T.30,MINATITLÁN,37
189,11,C.T.25,ACAYUCAN,19
190,11,C.T.26,ACAYUCAN,21
228,2,C.T.08,TUXPAN,42
237,2,D-IV-36,TAMIAHUA,29
238,5,D-I-62,XALAPA,27
239,5,D-III-14,XALAPA,19
240,5,D-II-02,XALAPA,10
241,5,D-III-09,XALAPA,3
242,5,D-II-56,XALAPA,8
243,5,D-I-47,LAS VIGAS DE RAMIREZ,35
245,9,D-III-07,ALVARADO,19
253,6,D-II-05,VERACRUZ,39
273,9,D-II-30,COSAMALOAPAN,39
274,1,D-IV-23,PANUCO,29
276,11,D-I-82,MINATITLÁN,34
277,7,C.T.02,HUATUSCO,36
280,1,D-II-18,CHICONTEPEC,39
281,3,D-I-04,ALAMO,35
282,10,D-III-19,SAN ANDRES TUXTLA,19
284,6,C.T.17,VERACRUZ,41
285,6,D-II-40,VERACRUZ,40
286,6,D-II-49,VERACRUZ,36
287,1,D-IV-11,TEMPOAL,29
288,1,D-IV-22,CHICONTEPEC,29
289,1,D-IV-35,PUEBLO VIEJO,29
290,1,D-IV-37,PLATON SANCHEZ,29
291,3,D-II-07,POZA RICA,37
292,3,D-II-33,POZA RICA,39
293,3,D-IV-14,ALAMO,29
294,3,D-IV-24,GUTIERREZ ZAMORA,29
295,5,C.T.18,XALAPA,23
296,6,C.T.06,CARDEL,6
297,6,C.T.11,VERACRUZ,16
298,6,C.T.15,VERACRUZ,11
299,6,C.T.22,VERACRUZ,26
300,6,D-II-06,VERACRUZ,28
301,6,D-III-06,VERACRUZ,19
302,6,D-IV-01,VERACRUZ,29
303,6,D-IV-27,BOCA DEL RIO,29
304,6,D-IV-30,PIEDRAS NEGRAS,29
305,8,D-I-27,IXTACZOQUITLAN,35
306,8,D-II-36,ORIZABA,37
307,8,D-III-10,CIUDAD MENDOZA,19
308,8,D-IV-04,CIUDAD MENDOZA,29
309,9,D-I-70,TRES VALLES,35
310,9,D-II-08,COSAMALOAPAN,37
311,9,D-III-20,COSAMALOAPAN,19
312,9,D-IV-29,TIERRA BLANCA,29
313,9,D-IV-34,TLACOTALPAN,29
314,11,D-I-13,COATZACOALCOS,35
315,11,D-II-11,COATZACOALCOS,36
316,11,D-II-39,ACAYUCAN,40
317,11,D-IV-20,ACAYUCAN,29
318,6,D-I-50,SOLEDAD DE DOBLADO,35
332,6,D-I-73,PASO DE OVEJAS,35
333,5,C.T.04,JACARANDAS,39
334,7,C.T.12,HUATUSCO,39
335,7,C.T.16,CóRDOBA,39
336,6,D-I-95,MANLIO FABIO ALTAMIRANO,35
